Acousticness,Danceability,Energy,Genre,Instrumental,Key,Liveness,Loudness,Speechness,Tempo,Valence
0.372,0.486,0.605,rock,0.0996,2,0.0964,-6.992,0.0281,116.14,0.457
0.0751,0.815,0.638,rock,0.00957,7,0.12,-8.332,0.0281,118.255,0.823
0.53,0.363,0.4,rock,0.00807,0,0.415,-8.576,0.036,171.395,0.162
0.358,0.209,0.41,rock,0.0588,10,0.214,-10.708,0.0297,141.263,0.121
0.0843,0.55,0.533,rock,0,9,0.096,-8.205,0.132,173.071,0.772
0.592,0.259,0.472,rock,0.0187,10,0.19,-7.402,0.0419,149.775,0.266
0.151,0.306,0.394,rock,0.315,7,0.125,-11.53,0.0406,203.496,0.443
0.196,0.33,0.61,rock,0.0104,8,0.198,-7.996,0.0368,81.682,0.679
0.0353,0.562,0.537,rock,0.00347,2,0.144,-8.178,0.0243,98.119,0.436
0.0257,0.46,0.643,rock,0.000372,2,0.128,-8.1,0.0391,78.813,0.471
0.436,0.351,0.57,rock,4.82E-05,7,0.277,-8.988,0.0586,164.568,0.283
0.0607,0.516,0.803,rock,0.00959,9,0.16,-5.861,0.036,126.29,0.71
0.409,0.593,0.284,rock,2.78E-05,9,0.117,-11.032,0.0431,115.912,0.277
0.0341,0.423,0.614,rock,0.748,9,0.0669,-8.392,0.0368,138.951,0.432
